Elapsed Time (min),Date,Voltage (V),R_therm (Ohms),Temp_SH (K),Temp_SH (F),Temp_SH (C),Temp_Beta (K),Temp_Beta (F),Temp_Beta (C)
36.72,09-18-2025 13:29:37,1.9963,6646.2057,307.7,94.24,34.58,307.64,94.08,34.49
36.74,09-18-2025 13:29:38,2.3091,8580.8849,301.7,83.34,28.52,301.63,83.27,28.48
36.76,09-18-2025 13:29:39,3.4024,21296.4557,281.7,47.47,8.6,282.06,48.03,8.91
36.78,09-18-2025 13:29:40,0.9317,2290.108,335.5,144.15,62.31,335.47,144.18,62.32
36.8,09-18-2025 13:29:41,0.5629,1268.5579,352.8,175.45,79.69,353.19,176.08,80.04
36.81,09-18-2025 13:29:42,1.194,3137.1519,326.8,128.59,53.66,326.74,128.46,53.59
36.83,09-18-2025 13:29:43,3.417,21585.597,281.5,46.97,8.32,281.78,47.54,8.63
36.86,09-18-2025 13:29:45,4.8553,335572.3542,233.2,-39.96,-39.98,235.66,-35.49,-37.49
36.87,09-18-2025 13:29:46,3.1995,17770.0639,285.5,54.28,12.38,285.75,54.68,12.6
36.89,09-18-2025 13:29:47,2.2905,8453.5892,302.0,83.97,28.87,301.98,83.89,28.83
36.91,09-18-2025 13:29:48,2.6055,10881.1861,296.2,73.55,23.09,296.26,73.6,23.11
36.92,09-18-2025 13:29:49,5.5466,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
36.95,09-18-2025 13:29:50,3.6544,27157.4547,276.8,38.57,3.65,277.24,39.37,4.09
36.97,09-18-2025 13:29:51,0.4402,965.5135,361.4,190.93,88.3,362.03,191.98,88.88
36.98,09-18-2025 13:29:52,3.9958,39791.4981,269.3,25.11,-3.83,270.0,26.34,-3.15
37.0,09-18-2025 13:29:53,4.1874,51533.7282,264.5,16.35,-8.7,265.31,17.9,-7.84
37.02,09-18-2025 13:29:54,0.7558,1780.8179,342.7,157.13,69.52,342.8,157.36,69.65
37.04,09-18-2025 13:29:56,3.7298,29362.3302,275.2,35.77,2.09,275.73,36.65,2.58
37.06,09-18-2025 13:29:57,5.997,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
37.07,09-18-2025 13:29:58,1.6888,5100.3228,314.2,105.93,41.07,314.11,105.73,40.96
37.09,09-18-2025 13:29:59,2.5003,10002.5003,298.1,76.99,24.99,298.14,76.99,24.99
37.11,09-18-2025 13:30:00,3.7163,28948.3934,275.5,36.27,2.37,276.01,37.14,2.86
37.13,09-18-2025 13:30:01,4.5816,109492.1583,251.1,-7.73,-22.07,252.53,-5.11,-20.62
37.15,09-18-2025 13:30:02,3.4194,21634.3074,281.4,46.89,8.27,281.74,47.46,8.59
37.17,09-18-2025 13:30:03,4.8086,251267.1457,237.6,-32.0,-35.56,239.8,-28.04,-33.35
37.18,09-18-2025 13:30:04,2.5793,10654.7558,296.7,74.41,23.56,296.73,74.44,23.58
37.2,09-18-2025 13:30:05,0.9118,2230.3588,336.2,145.49,63.05,336.23,145.54,63.08
37.23,09-18-2025 13:30:07,1.9939,6632.7082,307.8,94.32,34.62,307.69,94.16,34.54
37.24,09-18-2025 13:30:08,3.6094,25955.0562,277.7,40.21,4.56,278.13,40.96,4.98
37.26,09-18-2025 13:30:09,3.1562,17117.7248,286.3,55.71,13.17,286.52,56.07,13.37
37.28,09-18-2025 13:30:10,4.0614,43272.9573,267.7,22.24,-5.42,268.46,23.57,-4.69
37.29,09-18-2025 13:30:11,3.8994,35431.3135,271.6,29.13,-1.59,272.16,30.22,-0.99
37.32,09-18-2025 13:30:13,2.1696,7665.1136,304.3,88.11,31.17,304.26,87.99,31.11
37.33,09-18-2025 13:30:14,5.1954,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
37.35,09-18-2025 13:30:15,5.8367,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
37.37,09-18-2025 13:30:16,2.4283,9442.4867,299.5,79.36,26.31,299.45,79.33,26.3
37.38,09-18-2025 13:30:17,4.6493,132551.675,247.9,-13.51,-25.28,249.48,-10.6,-23.67
37.41,09-18-2025 13:30:18,5.0569,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
37.43,09-18-2025 13:30:19,3.8363,32964.5542,273.0,31.66,-0.19,273.52,32.67,0.37
37.44,09-18-2025 13:30:20,4.2759,59054.8123,261.9,11.84,-11.2,262.91,13.57,-10.24
37.46,09-18-2025 13:30:21,2.9631,14546.654,289.8,62.0,16.67,289.95,62.24,16.8
37.48,09-18-2025 13:30:22,4.3811,70791.7592,258.7,5.95,-14.47,259.77,7.92,-13.38
37.5,09-18-2025 13:30:24,4.5195,94058.2726,253.7,-3.04,-19.47,255.01,-0.66,-18.14
37.52,09-18-2025 13:30:25,3.4723,22729.2067,280.4,45.06,7.26,280.75,45.68,7.6
37.54,09-18-2025 13:30:26,3.4789,22870.4084,280.3,44.83,7.13,280.63,45.46,7.48
37.55,09-18-2025 13:30:27,4.2894,60366.7869,261.5,11.12,-11.6,262.52,12.87,-10.63
37.57,09-18-2025 13:30:28,4.3779,70377.7755,258.8,6.13,-14.37,259.87,8.1,-13.28
37.6,09-18-2025 13:30:29,2.4231,9402.8765,299.6,79.54,26.41,299.54,79.51,26.39
37.61,09-18-2025 13:30:30,2.7703,12424.6671,293.3,68.22,20.12,293.34,68.35,20.19
37.63,09-18-2025 13:30:31,2.5436,10355.1982,297.4,75.57,24.21,297.37,75.59,24.22
37.65,09-18-2025 13:30:32,2.3031,8539.5472,301.8,83.55,28.64,301.75,83.47,28.6
37.66,09-18-2025 13:30:33,2.1,7241.3793,305.7,90.54,32.52,305.6,90.4,32.45
37.69,09-18-2025 13:30:35,2.0237,6799.3112,307.2,93.25,34.03,307.09,93.1,33.94
37.71,09-18-2025 13:30:36,0.1298,266.4134,407.8,274.42,134.68,410.47,279.18,137.32
37.72,09-18-2025 13:30:37,5.2466,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
37.74,09-18-2025 13:30:38,4.0974,45397.8256,266.8,20.61,-6.33,267.59,22.0,-5.56
37.76,09-18-2025 13:30:39,5.0844,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
37.78,09-18-2025 13:30:40,4.3483,66723.8899,259.7,7.86,-13.41,260.79,9.75,-12.36
37.8,09-18-2025 13:30:41,4.0035,40175.6147,269.1,24.78,-4.01,269.83,26.02,-3.32
37.81,09-18-2025 13:30:42,4.5396,98592.3714,252.9,-4.5,-20.28,254.24,-2.05,-18.91
37.83,09-18-2025 13:30:43,5.1531,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
37.85,09-18-2025 13:30:44,0.2229,466.6832,386.3,235.75,113.2,387.88,238.51,114.73
37.87,09-18-2025 13:30:46,5.4666,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
37.89,09-18-2025 13:30:47,4.7357,179170.0166,242.9,-22.39,-30.21,244.82,-18.99,-28.33
37.91,09-18-2025 13:30:48,5.7171,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
37.92,09-18-2025 13:30:49,3.8901,35047.5815,271.8,29.51,-1.38,272.37,30.59,-0.78
37.94,09-18-2025 13:30:50,5.1322,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
37.97,09-18-2025 13:30:51,1.2795,3439.0539,324.4,124.19,51.21,324.28,124.03,51.13
37.98,09-18-2025 13:30:52,3.4693,22665.0606,280.5,45.17,7.31,280.81,45.78,7.66
38.0,09-18-2025 13:30:53,5.4328,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
38.02,09-18-2025 13:30:55,3.8449,33285.3587,272.8,31.32,-0.38,273.34,32.34,0.19
38.03,09-18-2025 13:30:56,2.2674,8297.8431,302.5,84.75,29.31,302.41,84.67,29.26
38.06,09-18-2025 13:30:57,0.8801,2136.2905,337.4,147.69,64.27,337.47,147.77,64.32
38.08,09-18-2025 13:30:58,4.1288,47388.8092,266.0,19.16,-7.13,266.82,20.6,-6.33
38.09,09-18-2025 13:30:59,0.9426,2323.0487,335.1,143.43,61.9,335.07,143.45,61.92
38.11,09-18-2025 13:31:00,4.6592,136708.234,247.4,-14.43,-25.8,249.0,-11.47,-24.15
38.13,09-18-2025 13:31:01,0.8257,1978.1997,339.6,151.64,66.47,339.7,151.79,66.55
38.15,09-18-2025 13:31:03,5.9777,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
38.17,09-18-2025 13:31:04,5.9886,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
38.18,09-18-2025 13:31:05,4.6999,156597.2511,245.1,-18.46,-28.03,246.88,-15.28,-26.27
38.2,09-18-2025 13:31:06,4.1173,46645.1887,266.3,19.69,-6.84,267.1,21.11,-6.05
38.22,09-18-2025 13:31:07,4.6537,134404.3321,247.6,-13.93,-25.52,249.26,-10.99,-23.89
38.24,09-18-2025 13:31:08,6.0637,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
38.26,09-18-2025 13:31:09,0.5471,1228.7006,353.8,177.23,80.68,354.2,177.9,81.05
38.28,09-18-2025 13:31:10,1.2167,3215.9318,326.1,127.4,53.0,326.07,127.26,52.92
38.29,09-18-2025 13:31:11,5.5725,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
38.31,09-18-2025 13:31:12,2.5174,10139.9728,297.8,76.43,24.68,297.84,76.44,24.69
38.34,09-18-2025 13:31:14,5.19,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
38.35,09-18-2025 13:31:15,2.1921,7806.6641,303.9,87.33,30.74,303.83,87.22,30.68
38.37,09-18-2025 13:31:16,0.0683,138.389,435.9,325.02,162.79,440.45,333.14,167.3
38.39,09-18-2025 13:31:17,3.4219,21683.1683,281.4,46.8,8.22,281.69,47.38,8.54
38.4,09-18-2025 13:31:18,2.7883,12607.1721,292.9,67.64,19.8,293.03,67.78,19.88
38.43,09-18-2025 13:31:19,4.9314,719261.6226,222.1,-59.81,-51.01,225.41,-53.94,-47.74
38.45,09-18-2025 13:31:20,1.5279,4400.6624,318.0,112.65,44.8,317.84,112.45,44.69
38.46,09-18-2025 13:31:21,2.1688,7660.434,304.3,88.13,31.19,304.27,88.02,31.12
38.48,09-18-2025 13:31:22,1.4016,3894.9197,321.1,118.31,47.95,321.0,118.12,47.85
38.5,09-18-2025 13:31:23,5.5796,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
38.52,09-18-2025 13:31:25,5.7572,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
38.54,09-18-2025 13:31:26,1.4916,4251.3583,318.8,114.24,45.69,318.73,114.04,45.58
38.56,09-18-2025 13:31:27,0.1704,352.9046,396.8,254.54,123.63,398.82,258.21,125.67
38.57,09-18-2025 13:31:28,5.4694,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
38.59,09-18-2025 13:31:29,3.5439,24339.1853,279.0,42.55,5.86,279.39,43.23,6.24
38.62,09-18-2025 13:31:30,3.9771,38878.8416,269.8,25.91,-3.38,270.43,27.11,-2.72
38.63,09-18-2025 13:31:31,3.279,19052.8762,284.1,51.64,10.91,284.32,52.1,11.17
38.65,09-18-2025 13:31:32,3.5198,23778.078,279.5,43.4,6.33,279.85,44.07,6.7
38.67,09-18-2025 13:31:33,1.8069,5658.9481,311.6,101.29,38.49,311.54,101.1,38.39
38.68,09-18-2025 13:31:34,2.1726,7683.8568,304.3,88.0,31.11,304.2,87.89,31.05
38.71,09-18-2025 13:31:36,4.4514,81147.3169,256.3,1.59,-16.89,257.46,3.76,-15.69
38.72,09-18-2025 13:31:37,0.0559,113.0129,445.4,342.03,172.24,450.63,351.46,177.48
38.74,09-18-2025 13:31:38,0.8256,1977.6617,339.6,151.66,66.48,339.71,151.8,66.56
38.76,09-18-2025 13:31:39,3.0217,15274.8641,288.8,60.1,15.61,288.91,60.37,15.76
38.77,09-18-2025 13:31:40,5.0781,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
38.8,09-18-2025 13:31:41,6.0114,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
38.82,09-18-2025 13:31:42,2.8031,12759.6017,292.7,67.16,19.53,292.76,67.31,19.61
38.83,09-18-2025 13:31:43,1.5984,4699.1272,316.3,109.64,43.14,316.17,109.44,43.02
38.85,09-18-2025 13:31:44,2.073,7082.3369,306.2,91.49,33.05,306.12,91.35,32.97
38.87,09-18-2025 13:31:45,2.4144,9338.1518,299.7,79.82,26.57,299.7,79.79,26.55
38.89,09-18-2025 13:31:47,4.7994,239298.847,238.4,-30.64,-34.8,240.51,-26.75,-32.64
38.91,09-18-2025 13:31:48,3.675,27735.8491,276.4,37.81,3.23,276.83,38.63,3.68
38.93,09-18-2025 13:31:49,1.1644,3035.6852,327.7,130.18,54.55,327.63,130.07,54.48
38.94,09-18-2025 13:31:50,4.0954,45271.5213,266.9,20.7,-6.28,267.64,22.09,-5.51
38.96,09-18-2025 13:31:51,3.1763,17416.0384,286.0,55.05,12.8,286.17,55.43,13.02
38.99,09-18-2025 13:31:53,1.6506,4927.8797,315.1,107.49,41.94,314.97,107.28,41.82
39.0,09-18-2025 13:31:54,0.3473,746.3328,369.9,206.18,96.77,370.78,207.74,97.63
39.02,09-18-2025 13:31:55,4.0596,43166.7442,267.8,22.32,-5.38,268.51,23.65,-4.64
39.04,09-18-2025 13:31:56,4.1813,51068.7023,264.6,16.65,-8.53,265.48,18.19,-7.67
39.05,09-18-2025 13:31:57,1.533,4421.6902,317.8,112.43,44.68,317.72,112.23,44.57
39.08,09-18-2025 13:31:58,0.3268,699.3353,372.1,210.14,98.97,373.06,211.84,99.91
39.1,09-18-2025 13:31:59,5.4966,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
39.11,09-18-2025 13:32:00,2.5599,10491.2784,297.1,75.04,23.91,297.07,75.06,23.92
39.13,09-18-2025 13:32:01,5.2363,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
39.15,09-18-2025 13:32:02,5.7053,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
39.17,09-18-2025 13:32:04,3.9836,39194.441,269.6,25.63,-3.54,270.28,26.84,-2.87
39.19,09-18-2025 13:32:05,5.4058,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
39.2,09-18-2025 13:32:06,2.6267,11067.6007,295.9,72.87,22.7,295.88,72.92,22.73
39.22,09-18-2025 13:32:07,1.5615,4541.2244,317.2,111.2,44.0,317.04,111.0,43.89
39.24,09-18-2025 13:32:08,1.1482,2981.1125,328.2,131.07,55.04,328.13,130.96,54.98
39.26,09-18-2025 13:32:09,1.7543,5404.7601,312.8,103.33,39.63,312.67,103.14,39.52
39.28,09-18-2025 13:32:10,0.9716,2411.9527,334.0,141.54,60.85,334.0,141.54,60.85
39.3,09-18-2025 13:32:11,3.3921,21095.736,281.9,47.82,8.79,282.25,48.37,9.1
39.31,09-18-2025 13:32:12,1.1117,2859.0488,329.3,133.11,56.17,329.27,133.01,56.12
39.33,09-18-2025 13:32:13,3.6171,26154.9238,277.6,39.93,4.4,277.98,40.69,4.83
39.36,09-18-2025 13:32:15,0.4997,1110.3396,357.0,182.92,83.84,357.45,183.74,84.3
39.37,09-18-2025 13:32:16,4.3582,67911.9595,259.4,7.28,-13.73,260.49,9.2,-12.66
39.39,09-18-2025 13:32:17,5.1156,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
39.41,09-18-2025 13:32:18,2.6126,10943.5049,296.1,73.32,22.96,296.13,73.37,22.98
39.42,09-18-2025 13:32:19,5.0505,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
39.45,09-18-2025 13:32:21,0.5526,1242.4289,353.5,176.61,80.34,353.85,177.26,80.7
39.47,09-18-2025 13:32:22,3.63,26496.3504,277.3,39.46,4.14,277.72,40.23,4.57
39.48,09-18-2025 13:32:23,3.2653,18823.6354,284.3,52.1,11.17,284.56,52.54,11.41
39.5,09-18-2025 13:32:24,2.5856,10709.2933,296.6,74.2,23.44,296.62,74.24,23.47
39.52,09-18-2025 13:32:25,2.2749,8348.203,302.3,84.5,29.17,302.27,84.41,29.12
39.54,09-18-2025 13:32:26,3.9546,37826.8667,270.3,26.86,-2.86,270.94,28.02,-2.21
39.56,09-18-2025 13:32:27,0.0461,93.1089,454.8,358.96,181.65,460.81,369.79,187.66
39.58,09-18-2025 13:32:28,2.2612,8256.5039,302.6,84.96,29.42,302.52,84.87,29.37
39.59,09-18-2025 13:32:29,4.3656,68809.9695,259.2,6.86,-13.97,260.26,8.8,-12.89
39.61,09-18-2025 13:32:30,0.5979,1358.3122,350.7,171.68,77.6,351.05,172.22,77.9
39.64,09-18-2025 13:32:32,1.8056,5652.5142,311.7,101.34,38.52,311.57,101.15,38.42
39.65,09-18-2025 13:32:33,5.9008,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
39.67,09-18-2025 13:32:34,4.7859,223576.6423,239.4,-28.72,-33.73,241.51,-24.95,-31.64
39.69,09-18-2025 13:32:35,1.8696,5972.2084,310.3,98.91,37.17,310.22,98.73,37.07
39.7,09-18-2025 13:32:36,1.1109,2856.5689,329.3,133.15,56.19,329.29,133.06,56.14
39.73,09-18-2025 13:32:37,3.9806,39049.6628,269.7,25.76,-3.47,270.35,26.96,-2.8
39.74,09-18-2025 13:32:38,4.1484,48715.5963,265.5,18.23,-7.65,266.32,19.71,-6.83
39.76,09-18-2025 13:32:39,3.5016,23368.0918,279.8,44.04,6.69,280.2,44.69,7.05
39.78,09-18-2025 13:32:40,1.1726,3063.7839,327.4,129.74,54.3,327.38,129.62,54.23
39.79,09-18-2025 13:32:41,3.3557,20407.8452,282.6,49.06,9.48,282.92,49.58,9.77
39.82,09-18-2025 13:32:43,0.1521,313.6643,401.3,262.75,128.19,403.62,266.85,130.47
39.84,09-18-2025 13:32:44,0.6141,1400.0713,349.8,170.02,76.68,350.11,170.52,76.96
39.85,09-18-2025 13:32:45,4.8049,246245.9962,237.9,-31.44,-35.24,240.09,-27.51,-33.06
39.87,09-18-2025 13:32:46,1.0076,2523.8736,332.7,139.27,59.59,332.73,139.24,59.58
39.89,09-18-2025 13:32:47,4.2233,54370.7757,263.5,14.56,-9.69,264.36,16.18,-8.79
39.91,09-18-2025 13:32:48,1.7417,5345.3667,313.1,103.83,39.9,312.95,103.63,39.8
39.93,09-18-2025 13:32:49,2.5369,10299.4164,297.5,75.79,24.33,297.49,75.81,24.34
39.95,09-18-2025 13:32:50,5.1122,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
39.96,09-18-2025 13:32:51,0.8132,1942.2592,340.1,152.59,67.0,340.23,152.75,67.08
39.98,09-18-2025 13:32:52,1.512,4334.8624,318.3,113.34,45.19,318.23,113.14,45.08
40.01,09-18-2025 13:32:54,3.4052,21351.6479,281.7,47.38,8.54,282.0,47.94,8.85
40.02,09-18-2025 13:32:55,2.3601,8939.8423,300.7,81.63,27.57,300.69,81.58,27.54
40.04,09-18-2025 13:32:56,4.8187,265862.069,236.7,-33.57,-36.43,238.98,-29.51,-34.17
40.06,09-18-2025 13:32:57,0.5248,1172.7162,355.3,179.84,82.13,355.69,180.58,82.54
40.07,09-18-2025 13:32:58,1.7505,5386.9826,312.9,103.48,39.71,312.75,103.29,39.6
40.1,09-18-2025 13:32:59,5.1926,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
40.12,09-18-2025 13:33:00,5.0998,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
40.13,09-18-2025 13:33:01,5.6957,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
40.15,09-18-2025 13:33:02,0.2561,539.9067,381.1,226.32,107.95,382.4,228.66,109.25
40.17,09-18-2025 13:33:03,3.7836,31103.6325,274.1,33.72,0.95,274.63,34.66,1.48
40.19,09-18-2025 13:33:05,1.3489,3694.4093,322.5,120.79,49.33,322.38,120.61,49.23
40.21,09-18-2025 13:33:06,0.3306,707.9279,371.7,209.39,98.55,372.63,211.06,99.48
40.23,09-18-2025 13:33:07,1.0721,2729.5293,330.6,135.38,57.44,330.55,135.31,57.4
40.24,09-18-2025 13:33:08,0.5779,1306.7812,351.9,173.81,78.78,352.26,174.4,79.11
40.26,09-18-2025 13:33:09,0.0592,119.9211,442.6,336.97,169.43,447.6,346.01,174.45
40.29,09-18-2025 13:33:11,5.9475,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
40.3,09-18-2025 13:33:12,3.8214,32424.5638,273.3,32.24,0.14,273.84,33.23,0.69
40.32,09-18-2025 13:33:13,4.9674,1525508.6372,212.1,-77.96,-61.09,216.13,-70.63,-57.02
40.34,09-18-2025 13:33:14,3.0544,15698.6829,288.2,59.04,15.02,288.33,59.33,15.18
40.35,09-18-2025 13:33:15,5.484,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
40.38,09-18-2025 13:33:16,6.0774,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
40.4,09-18-2025 13:33:17,5.4696,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
40.41,09-18-2025 13:33:18,0.8137,1943.8638,340.1,152.55,66.97,340.21,152.71,67.06
40.43,09-18-2025 13:33:19,3.5571,24651.5355,278.8,42.08,5.6,279.14,42.78,5.99
40.45,09-18-2025 13:33:20,6.0767,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
40.47,09-18-2025 13:33:22,2.1728,7685.0296,304.3,88.0,31.11,304.2,87.88,31.05
40.49,09-18-2025 13:33:23,0.7939,1887.4261,341.0,154.08,67.82,341.08,154.27,67.93
40.51,09-18-2025 13:33:24,0.9073,2216.9113,336.4,145.8,63.22,336.4,145.85,63.25
40.52,09-18-2025 13:33:25,1.6774,5048.3428,314.5,106.4,41.33,314.37,106.19,41.22
40.54,09-18-2025 13:33:26,5.1952,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
40.57,09-18-2025 13:33:27,3.4721,22725.1902,280.4,45.07,7.26,280.75,45.69,7.6
40.58,09-18-2025 13:33:28,1.4543,4101.389,319.8,115.9,46.61,319.65,115.71,46.5
40.6,09-18-2025 13:33:29,3.3058,19512.672,283.6,50.74,10.41,283.83,51.22,10.68
40.62,09-18-2025 13:33:30,3.6488,27002.7752,276.9,38.78,3.76,277.35,39.57,4.2
40.63,09-18-2025 13:33:31,5.0498,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
40.66,09-18-2025 13:33:33,1.3099,3549.6765,323.5,122.68,50.38,323.44,122.51,50.29
40.67,09-18-2025 13:33:34,1.0948,2803.4825,329.9,134.07,56.7,329.81,133.99,56.66
40.69,09-18-2025 13:33:35,0.618,1410.3149,349.6,169.62,76.46,349.88,170.11,76.73
40.71,09-18-2025 13:33:36,1.1614,3025.4974,327.8,130.35,54.64,327.72,130.23,54.57
40.72,09-18-2025 13:33:37,2.1214,7369.4038,305.3,89.79,32.1,305.18,89.66,32.03
40.75,09-18-2025 13:33:39,1.6901,5106.3107,314.2,105.88,41.05,314.08,105.68,40.93
40.77,09-18-2025 13:33:40,2.0306,6838.5603,307.0,93.0,33.89,306.95,92.85,33.8
40.78,09-18-2025 13:33:41,0.0167,33.4868,511.5,461.05,238.36,523.24,482.15,250.09
40.8,09-18-2025 13:33:42,5.9042,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
40.82,09-18-2025 13:33:43,1.3882,3843.7046,321.4,118.93,48.29,321.34,118.74,48.19
40.84,09-18-2025 13:33:44,1.5399,4450.606,317.7,112.13,44.52,317.55,111.93,44.4
40.86,09-18-2025 13:33:45,5.6751,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
40.88,09-18-2025 13:33:46,4.9588,1203960.5463,215.2,-72.39,-57.99,218.97,-65.53,-54.18
40.89,09-18-2025 13:33:47,3.7425,29761.4314,275.0,35.29,1.83,275.47,36.18,2.32
40.91,09-18-2025 13:33:48,4.6072,117307.4475,249.9,-9.83,-23.24,251.42,-7.11,-21.73
40.94,09-18-2025 13:33:50,3.4358,21964.2001,281.1,46.33,7.96,281.44,46.91,8.29
40.95,09-18-2025 13:33:51,5.9698,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
40.97,09-18-2025 13:33:52,5.1885,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
40.99,09-18-2025 13:33:53,2.2826,8400.1104,302.2,84.24,29.02,302.13,84.16,28.98
41.0,09-18-2025 13:33:54,0.9094,2223.071,336.3,145.66,63.14,336.32,145.71,63.17
41.03,09-18-2025 13:33:55,5.9972,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
41.05,09-18-2025 13:33:56,4.0219,41118.2109,268.7,23.98,-4.45,269.4,25.25,-3.75
41.06,09-18-2025 13:33:57,1.0916,2793.0406,330.0,134.25,56.81,329.91,134.17,56.76
41.08,09-18-2025 13:33:58,5.3432,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
41.1,09-18-2025 13:33:59,1.9641,6469.3773,308.4,95.41,35.23,308.28,95.24,35.13
41.12,09-18-2025 13:34:01,0.3484,748.9318,369.8,205.97,96.65,370.66,207.52,97.51
41.14,09-18-2025 13:34:02,0.0045,9.0081,608.0,634.74,334.86,633.4,680.46,360.25
41.16,09-18-2025 13:34:03,0.8906,2167.3004,337.0,146.95,63.86,337.05,147.02,63.9
41.17,09-18-2025 13:34:04,4.3123,62707.4434,260.9,9.87,-12.29,261.86,11.68,-11.29
41.19,09-18-2025 13:34:05,1.8354,5799.9724,311.0,100.2,37.89,310.93,100.01,37.78
41.22,09-18-2025 13:34:06,0.7103,1655.6909,344.8,160.98,71.66,344.98,161.29,71.83
41.23,09-18-2025 13:34:07,5.2176,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
41.25,09-18-2025 13:34:08,0.3307,708.3579,371.7,209.36,98.53,372.61,211.02,99.46
41.27,09-18-2025 13:34:09,2.5907,10752.8081,296.5,74.04,23.35,296.53,74.08,23.38
41.28,09-18-2025 13:34:10,6.0885,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
41.31,09-18-2025 13:34:12,6.0527,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
41.33,09-18-2025 13:34:13,0.3319,710.9385,371.6,209.13,98.41,372.48,210.79,99.33
41.34,09-18-2025 13:34:14,3.9743,38744.8209,269.8,26.03,-3.32,270.5,27.22,-2.65
41.36,09-18-2025 13:34:15,2.6107,10927.0692,296.1,73.38,22.99,296.17,73.43,23.02
41.38,09-18-2025 13:34:16,3.7163,28948.3934,275.5,36.27,2.37,276.01,37.14,2.86
41.4,09-18-2025 13:34:18,3.9778,38914.705,269.7,25.88,-3.4,270.42,27.08,-2.73
41.42,09-18-2025 13:34:19,2.7894,12618.6774,292.9,67.6,19.78,293.01,67.74,19.86
41.44,09-18-2025 13:34:20,5.4793,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
41.45,09-18-2025 13:34:21,1.2649,3386.4329,324.8,124.92,51.62,324.69,124.77,51.54
41.47,09-18-2025 13:34:22,0.6705,1548.6777,346.8,164.55,73.64,347.0,164.94,73.85
41.49,09-18-2025 13:34:23,4.5521,101638.2919,252.3,-5.44,-20.8,253.74,-2.94,-19.41
41.51,09-18-2025 13:34:24,5.8292,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
41.53,09-18-2025 13:34:25,5.0764,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
41.54,09-18-2025 13:34:26,0.3268,699.3353,372.1,210.14,98.97,373.06,211.84,99.91
41.56,09-18-2025 13:34:27,6.0414,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
41.59,09-18-2025 13:34:29,4.0761,44116.2146,267.4,21.58,-5.79,268.11,22.93,-5.04
41.6,09-18-2025 13:34:30,0.8357,2006.7838,339.2,150.9,66.06,339.28,151.03,66.13
